m/z	I
119.05394	4532014
175.77077	2923298
197.08198	1879214
199.00712	11428816
200.98637	3799063
205.01432	1948411
205.0507	2490631
207.02996	3308941
207.06635	2065817
209.04562	2110771
209.08201	1884736
211.0249	2844384
219.02995	3331172
219.06633	2727794
221.00922	3984742
221.04559	2918260
221.08201	2603907
223.02487	4850310
223.06122	2626708
223.09761	2396323
225.00413	4620197
225.04053	2703284
225.07685	3376579
227.05618	3562224
227.52444	8366003
229.03546	2600491
231.03335	2441082
233.04557	2615004
233.08199	2170091
235.02488	4853818
235.06127	3061322
235.09767	1911386
237.00414	3462563
237.04051	3872691
237.07688	2128835
239.01979	4989734
239.05612	4049719
239.09252	3888455
241.0354	3378355
241.07182	5131972
241.10819	1914068
243.0511	4073545
243.08747	3437146
245.04558	2958302
247.02481	3315058
247.06128	2120067
248.97332	5390592
249.00416	2327822
249.04051	4604191
249.07694	2232112
250.98338	2007216
251.01978	6200513
251.05614	4738258
251.09254	3912931
252.99905	2358888
253.03537	5779578
253.07182	7189643
253.1082	4404380
254.03863	1944661
255.01464	3391014
255.05106	7249975
255.08745	8785992
257.03026	2692072
257.06672	6962169
257.10313	3506186
259.02487	2210211
259.04593	3026861
259.06123	2328501
259.08235	2170815
261.04055	4035436
261.07688	2797437
263.01979	5109541
263.05613	5063479
263.09257	3540808
264.99908	2744545
265.03543	7337714
265.07176	6624004
265.1082	3966741
265.14637	2031912
265.14796	11107112
267.01466	9143982
267.0494	1974975
267.05106	8058560
267.08582	2016465
267.08746	10075857
267.12385	3344099
268.99389	2207083
269.03031	6091389
269.06507	2283150
269.0667	12763790
269.10169	2309791
269.10311	8723104
271.02486	2032705
271.04598	7110219
271.08236	10286684
271.11871	2067566
273.04053	3257870
273.06162	4204568
273.09803	2564138
275.01974	3795400
275.05615	4284890
275.09259	2686955
276.99898	2436992
277.03539	6967698
277.07003	2033058
277.07175	5343651
277.10817	2842037
279.01466	8471879
279.05106	8537432
279.08744	7114090
279.12376	3729787
280.0908	1957194
281.03029	9642250
281.06503	2248475
281.06668	12710172
281.1012	2328364
281.10309	11553069
281.13953	2381631
283.00955	6276281
283.04595	12221642
283.08053	2920666
283.08233	19440858
283.11873	8760556
284.08563	2457271
285.02521	5349491
285.04058	3030138
