,Exp. m/z,Theor. Mass,Error,Abundance,DBE,Cno,Hno,Nno,Ono,Sno,Formula,HeteroClass
0,205.01432,205.01424857990003,0.34836651825753545,1948411,8.0,10,6,0,5,0,C10H6O5,O5
1,205.0507,205.05063357990002,0.32392048160976394,2490631,7.0,11,10,0,4,0,C11H10O4,O4
2,207.02996000000002,207.02989857990002,0.2966726082441087,3308941,7.0,10,8,0,5,0,C10H8O5,O5
3,207.06635,207.06628357990002,0.320767335151206,2065817,6.0,11,12,0,4,0,C11H12O4,O4
4,209.04561999999999,209.04554857990001,0.34164850893089904,2110771,6.0,10,10,0,5,0,C10H10O5,O5
5,211.0249,211.0248135799,0.4095257734096545,2844384,6.0,9,8,0,6,0,C9H8O6,O6
6,219.02995,219.02989857990002,0.23476292655215072,3331172,8.0,11,8,0,5,0,C11H8O5,O5
7,219.06633,219.06628357990002,0.21189979223940855,2727794,7.0,12,12,0,4,0,C12H12O4,O4
8,221.00922000000003,221.00916357990002,0.2552839850391037,3984742,8.0,10,6,0,6,0,C10H6O6,O6
9,221.04559,221.04554857990001,0.18738264695202436,2918260,7.0,11,10,0,5,0,C11H10O5,O5
10,221.08201,221.0819335799,0.34566415604079204,2603907,6.0,12,14,0,4,0,C12H14O4,O4
11,223.02487000000002,223.0248135799,0.25297678362871123,4850310,7.0,10,8,0,6,0,C10H8O6,O6
12,223.06122000000002,223.0611985799,0.0960279069076407,2626708,6.0,11,12,0,5,0,C11H12O5,O5
13,225.00412999999998,225.0040785799,0.2285296350588457,4620197,7.0,9,6,0,7,0,C9H6O7,O7
14,225.04053,225.0404635799,0.295147365620344,2703284,6.0,10,10,0,6,0,C10H10O6,O6
15,225.07685,225.07684857990003,0.006309400483112279,3376579,5.0,11,14,0,5,0,C11H14O5,O5
16,227.05617999999998,227.05611357990003,0.29252724759509197,3562224,5.0,10,12,0,6,0,C10H12O6,O6
17,229.03546,229.03537857990003,0.3554913676610665,2600491,5.0,9,10,0,7,0,C9H10O7,O7
18,233.04557000000003,233.04554857990001,0.09191379171352626,2615004,8.0,12,10,0,5,0,C12H10O5,O5
19,233.08199,233.0819335799,0.24206123191900503,2170091,7.0,13,14,0,4,0,C13H14O4,O4
20,235.02487999999997,235.0248135799,0.2826088826258606,4853818,8.0,11,8,0,6,0,C11H8O6,O6
21,235.06127,235.0611985799,0.3038361942798903,3061322,7.0,12,12,0,5,0,C12H12O5,O5
22,235.09767000000002,235.0975835799,0.3675924639565161,1911386,6.0,13,16,0,4,0,C13H16O4,O4
23,237.00413999999998,237.0040785799,0.2591520801490522,3462563,8.0,10,6,0,7,0,C10H6O7,O7
24,237.04051,237.0404635799,0.19583196600530992,3872691,7.0,11,10,0,6,0,C11H10O6,O6
25,237.07688,237.07684857990003,0.13253128741366263,2128835,6.0,12,14,0,5,0,C12H14O5,O5
26,239.01979,239.0197285799,0.25696665443112404,4989734,7.0,10,8,0,7,0,C10H8O7,O7
27,239.05612000000002,239.05611357990003,0.02685603767593894,4049719,6.0,11,12,0,6,0,C11H12O6,O6
28,239.09252,239.09249857990002,0.08958917620059713,3888455,5.0,12,16,0,5,0,C12H16O5,O5
29,241.0354,241.03537857990003,0.08886703731923405,3378355,6.0,10,10,0,7,0,C10H10O7,O7
30,241.07182000000003,241.07176357990002,0.23403860813477778,5131972,5.0,11,14,0,6,0,C11H14O6,O6
31,243.0511,243.05102857990002,0.2938481700252759,4073545,5.0,10,12,0,7,0,C10H12O7,O7
32,243.08747000000002,243.08741357990002,0.23209798968177092,3437146,4.0,11,16,0,6,0,C11H16O6,O6
33,245.04557999999997,245.04554857990001,0.12822146796934453,2958302,9.0,13,10,0,5,0,C13H10O5,O5
34,247.02481,247.0248135799,-0.014492066437896073,3315058,9.0,12,8,0,6,0,C12H8O6,O6
35,247.06127999999998,247.0611985799,0.32955437940938914,2120067,8.0,13,12,0,5,0,C13H12O5,O5
36,249.04051,249.0404635799,0.18639581431219449,4604191,8.0,12,10,0,6,0,C12H10O6,O6
37,249.07693999999998,249.07684857990003,0.3670357179726604,2232112,7.0,13,14,0,5,0,C13H14O5,O5
38,250.98337999999998,250.9833435799,0.1451096294064302,2007216,9.0,10,4,0,8,0,C10H4O8,O8
39,251.01977999999997,251.0197285799,0.20484485524510984,6200513,8.0,11,8,0,7,0,C11H8O7,O7
40,251.05614,251.05611357990003,0.1052358359020146,4738258,7.0,12,12,0,6,0,C12H12O6,O6
41,251.09253999999999,251.09249857990002,0.16495952764698774,3912931,6.0,13,16,0,5,0,C13H16O5,O5
42,252.99905,252.99899357990003,0.2230052348512453,2358888,8.0,10,6,0,8,0,C10H6O8,O8
43,253.03537000000003,253.03537857990003,-0.033907906656127036,5779578,7.0,11,10,0,7,0,C11H10O7,O7
44,253.07182000000003,253.07176357990002,0.22294111050055182,7189643,6.0,12,14,0,6,0,C12H14O6,O6
45,253.1082,253.10814857990002,0.20315466049409323,4404380,5.0,13,18,0,5,0,C13H18O5,O5
46,255.01463999999999,255.01464357990002,-0.014038017536466977,3391014,7.0,10,8,0,8,0,C10H8O8,O8
47,255.05106,255.05102857990002,0.12319142628686487,7249975,6.0,11,12,0,7,0,C11H12O7,O7
48,255.08745,255.08741357990002,0.14277497843953132,8785992,5.0,12,16,0,6,0,C12H16O6,O6
49,257.03026,257.0302935799,-0.13064568974968283,2692072,6.0,10,10,0,8,0,C10H10O8,O8
50,257.06672000000003,257.06667857990004,0.1611259001698658,6962169,5.0,11,14,0,7,0,C11H14O7,O7
51,257.10312999999996,257.10306357990004,0.25834036748497796,3506186,4.0,12,18,0,6,0,C12H18O6,O6
52,259.02487,259.0248135799,0.21781735590915657,2210211,10.0,13,8,0,6,0,C13H8O6,O6
53,259.04593,259.04594357990004,-0.05242274730936317,3026861,5.0,10,12,0,8,0,C10H12O8,O8
54,259.06122999999997,259.0611985799,0.12128446919300993,2328501,9.0,14,12,0,5,0,C14H12O5,O5
