,Exp. m/z,Theor. Mass,Error,Abundance,Signal2Noise,DBE,Cno,Hno,Nno,Ono,Sno,13Cno,18Ono,Formula,HeteroClass
0,254.03862999999998,254.03862999999998,0,1944661,0,7.0,10,10,0,7,0,1,0,13C1 12C10 H10 O7,O7
1,280.0908,280.0908,0,1957194,0,7.0,13,16,0,6,0,1,0,13C1 12C13 H16 O6,O6
2,284.08563,284.08563,0,2457271,0,6.0,12,16,0,7,0,1,0,13C1 12C12 H16 O7,O7
3,296.08572000000004,296.08572000000004,0,3211382,0,7.0,13,16,0,7,0,1,0,13C1 12C13 H16 O7,O7
4,298.06494,298.06494,0,2693617,0,7.0,12,14,0,8,0,1,0,13C1 12C12 H14 O8,O8
5,300.08059,300.08059,0,3524467,0,6.0,12,16,0,8,0,1,0,13C1 12C12 H16 O8,O8
6,310.06492000000003,310.06492000000003,0,1974849,0,8.0,13,14,0,8,0,1,0,13C1 12C13 H14 O8,O8
7,312.0806,312.0806,0,3929995,0,7.0,13,16,0,8,0,1,0,13C1 12C13 H16 O8,O8
8,312.11699,312.11699,0,2585498,0,6.0,14,20,0,7,0,1,0,13C1 12C14 H20 O7,O7
9,314.0599,314.0599,0,3060925,0,7.0,12,14,0,9,0,1,0,13C1 12C12 H14 O9,O9
10,316.07555,316.07555,0,2515957,0,6.0,12,16,0,9,0,1,0,13C1 12C12 H16 O9,O9
11,322.06495,322.06495,0,2112344,0,9.0,14,14,0,8,0,1,0,13C1 12C14 H14 O8,O8
12,324.0805,324.0805,0,2649202,0,8.0,14,16,0,8,0,1,0,13C1 12C14 H16 O8,O8
13,326.05982,326.05982,0,3510647,0,8.0,13,14,0,9,0,1,0,13C1 12C13 H14 O9,O9
14,326.13253,326.13253,0,2091411,0,6.0,15,22,0,7,0,1,0,13C1 12C15 H22 O7,O7
15,328.07551,328.07551,0,3718275,0,7.0,13,16,0,9,0,1,0,13C1 12C13 H16 O9,O9
16,328.11185,328.11185,0,2437777,0,6.0,14,20,0,8,0,1,0,13C1 12C14 H20 O8,O8
17,330.05485,330.05485,0,2394491,0,7.0,12,14,0,10,0,1,0,13C1 12C12 H14 O10,O10
18,334.06486,334.06486,0,2401644,0,10.0,15,14,0,8,0,1,0,13C1 12C15 H14 O8,O8
19,336.08062,336.08062,0,1984095,0,9.0,15,16,0,8,0,1,0,13C1 12C15 H16 O8,O8
20,338.02352,338.02352,0,2085682,0,10.0,13,10,0,10,0,1,0,13C1 12C13 H10 O10,O10
21,338.05996,338.05996,0,2846016,0,9.0,14,14,0,9,0,1,0,13C1 12C14 H14 O9,O9
22,340.07556,340.07556,0,3639849,0,8.0,14,16,0,9,0,1,0,13C1 12C14 H16 O9,O9
23,340.11183,340.11183,0,3002934,0,7.0,15,20,0,8,0,1,0,13C1 12C15 H20 O8,O8
24,342.05471,342.05471,0,2846975,0,8.0,13,14,0,10,0,1,0,13C1 12C13 H14 O10,O10
25,342.12756,342.12756,0,2097434,0,6.0,15,22,0,8,0,1,0,13C1 12C15 H22 O8,O8
26,344.07039,344.07039,0,2178527,0,7.0,13,16,0,10,0,1,0,13C1 12C13 H16 O10,O10
27,344.1068,344.1068,0,2104300,0,6.0,14,20,0,9,0,1,0,13C1 12C14 H20 O9,O9
28,350.05982,350.05982,0,3229774,0,10.0,15,14,0,9,0,1,0,13C1 12C15 H14 O9,O9
29,352.07551,352.07551,0,3663645,0,9.0,15,16,0,9,0,1,0,13C1 12C15 H16 O9,O9
30,352.11176,352.11176,0,2775850,0,8.0,16,20,0,8,0,1,0,13C1 12C16 H20 O8,O8
