,Exp. m/z,Abundance
0,119.05394,4532014
1,175.77077,2923298
2,197.08198000000002,1879214
3,199.00712,11428816
4,200.98637,3799063
10,209.08201,1884736
19,223.09761,2396323
24,227.52444,8366003
26,231.03335,2441082
40,241.10818999999998,1914068
46,248.97332000000003,5390592
47,249.00416,2327822
78,265.14637,2031912
79,265.14796,11107112
81,267.0494,1974975
83,267.08582,2016465
88,269.06507,2283150
90,269.10168999999996,2309791
104,277.07003,2033058
113,281.06503,2248475
115,281.1012,2328364
120,283.08052999999995,2920666
126,285.05984,2962563
128,285.09623,2492052
131,286.06501000000003,2349149
151,293.17922000000004,7235402
153,295.04384,2253981
155,295.08032000000003,3146414
157,295.11679,2088126
160,296.12207,2228358
161,297.02322000000004,2138909
163,297.05957,3582509
165,297.09587999999997,3029310
169,298.10137000000003,3896321
170,299.0198,2446747
173,299.07518,3793332
181,301.09075,2076977
188,303.08733,2817691
189,303.10859,1997988
191,305.02799,2183652
197,307.0802,2385747
200,309.02294,1976459
202,309.05937,1993882
204,309.09578999999997,2827946
207,309.1741,8114891
209,310.10137000000003,2765393
211,311.03854,2266073
213,311.07502,3321832
215,311.11136,2545655
218,311.16863,3932687
219,312.04413999999997,2658172
223,313.03536,3729686
224,313.0543,2844958
226,313.09055,3394861
230,314.09625,3091148
240,317.0666,6093704
254,323.03844,2532569
256,323.07473,2362599
260,324.04411,3346020
264,325.05393,3332079
266,325.09033,3656701
269,325.18419,4248610
271,326.0962,4717957
275,327.03314,2062064
278,327.06959,3278591
280,327.10596,2639629
283,328.03907999999996,1931381
288,329.04887,1939449
292,329.10638,2199568
295,330.0912,2647945
296,331.00964,2772199
303,333.06049,2300401
309,335.03835,2079961
314,336.04406,1990738
317,337.05373,2192842
319,337.09019,2697688
322,337.20538999999997,3603971
325,338.09618,2383181
327,339.03301,2588328
329,339.06937,3054774
331,339.10584,2807491
334,339.19992,3302630
335,340.03909,3068443
336,340.06716,2000934
341,341.0486,3558287
343,341.08505,2836892
348,342.09109,4499725
353,343.04929,2306155
354,343.0642,1985648
357,343.08558999999997,2771064
360,344.03414,2082769
366,345.06493,2091336
369,345.10132999999996,3288405
374,347.0806,2498081
376,347.11696,2201134
378,348.04419,2389883
381,349.08999,2153715
386,350.09614,2479195
388,351.03272999999996,2330537
390,351.06913,2589110
394,352.03906,2994960
398,353.04843999999997,2967671
400,353.08477999999997,3324036
404,353.20031,4962477
407,354.09106,3895784
410,355.02738,2146612
413,355.0641,2920257
415,355.10035,2556749
423,357.02853,2354677
426,357.06498,2543106
427,357.07953,2193927
432,358.08609,3978089
433,359.00458,3143851
436,359.04429,2124985
439,359.08062,3460294
442,359.11694,2114771
444,360.04419,2266136
449,361.09636,4059015
453,363.03271,2337835
455,363.06909,2825272
457,363.07565,2233402
459,363.11179,2502726
461,364.03907000000004,3582857
464,365.04823999999996,3400936
466,365.08448,2575092
471,366.08297999999996,2041423
472,366.09117000000003,3283538
475,367.02747,2514326
477,367.04589,2498461
478,367.06371,2640291
480,367.1002,2903984
484,368.06217000000004,1962237
487,368.14314,2502937
490,369.02845,2380363
491,369.04299,3169872
494,369.07928,3204701
496,369.11582000000004,2922089
503,371.02232999999995,2142460
506,371.04424,2538244
507,371.05882,2185481
510,371.08058,2087184
511,371.095,2194709
514,372.06526,3458660
517,373.02348,2831278
520,373.05987000000005,3432379
521,373.07757999999995,9447361
523,373.09629,2851271
527,375.03242,2049379
529,375.03925,2347109
532,375.0755,3818097
533,375.09327,2633848
535,375.11197000000004,3845758
537,376.03907999999996,2958269
540,377.04798999999997,2591001
543,377.09126000000003,3033384
545,377.12754,2016564
548,378.04663999999997,2617456
550,378.09115,3189376
553,379.02707999999996,3259330
555,379.06347,3294158
557,379.10008,2320859
562,380.06217999999996,2535718
565,380.14332,2536770
568,381.04306,3644024
570,381.06161000000003,2257534
571,381.0792,3407492
573,381.11572,2475153
576,381.2316,2405561
577,382.04156,2843599
579,382.0861,4836319
581,383.00793999999996,2027804
582,383.02221000000003,2525473
585,383.04419,2370345
586,383.05844,3480878
588,383.09474,3152186
590,383.13122999999996,2286919
593,383.46727000000004,1987514
595,384.06527,4464264
597,384.13822999999996,3004065
599,385.0236,3068883
600,385.03769,2850775
603,385.06004,2889695
604,385.07427,2713572
607,385.11037999999996,2641905
611,386.08101,4346175
612,386.11733,2303308
614,387.00287000000003,2671229
617,387.03907999999996,3171978
620,387.07545,3539606
623,387.11201,2039459
626,388.03904,2065891
629,389.01871,2633013
631,389.04757,2053439
633,389.05495,2939202
636,389.0912,3504463
637,389.10886,2394453
639,389.1275,2770779
641,390.0466,2341529
643,390.09111,2547368
646,391.02695,3329004
648,391.06298,2162169
650,391.07052000000004,2395131
652,391.10687,2868232
654,392.03413,3754313
655,392.06226000000004,2611539
659,393.04259,4373159
661,393.07899,3207860
663,393.11531,2589377
666,394.04151,3549186
668,394.07801,2663439
669,394.08608,4133906
671,395.02164,3319127
674,395.04422999999997,2047839
675,395.05816,4172132
677,395.09471,2868081
679,395.1311,3480957
683,396.05724,2535104
684,396.06538,6076099
685,396.09356,2647757
687,396.13812,3741404
690,397.02351,2273297
691,397.03749,3705878
694,397.0598,2146846
695,397.07367999999997,3437603
698,397.09619,2068522
699,397.11025,3815471
702,397.18669,2134090
703,397.22664,4087896
705,398.07301,2015616
707,398.11732,5198224
710,399.00281,2266821
711,399.01262,2069705
714,399.0393,3335890
715,399.05312000000004,3182295
718,399.0755,3174111
719,399.08932999999996,2477796
721,399.10842,2657002
722,399.11193,2548460
726,400.03906,2423857
727,400.06023999999996,4574264
729,400.13313999999997,2258002
731,401.01854,3130761
733,401.04773,1989523
735,401.05489,3502486
738,401.09125,3679650
741,401.12745,2696623
746,403.02695,2978893
749,403.06324,2835545
751,403.07045,2797660
754,403.10684,4159593
755,403.12464,2817135
757,404.03405,4294065
758,404.0624,3375547
760,404.09869,2076615
762,405.04242999999997,4414230
764,405.04999,3109656
766,405.08616,2616101
768,405.12248999999997,2998066
770,406.0134,2136174
771,406.0415,2937977
773,406.07793,2228357
778,407.02145,3702229
780,407.04075,2252252
781,407.05796000000004,5129698
783,407.09423,2872815
